TTP,weight,count
T1105,0.0,286
T1082,0.04,262
T1071.001,0.09,227
T1027,0.09,226
T1059.003,0.12,211
T1083,0.12,210
T1057,0.18,183
T1070.004,0.2,173
T1140,0.22,167
T1016,0.24,158
T1547.001,0.25,153
T1033,0.32,130
T1573.001,0.36,115
T1106,0.38,111
T1113,0.38,110
T1112,0.42,101
T1056.001,0.45,94
T1005,0.45,92
T1036.005,0.47,88
T1543.003,0.49,83
T1041,0.5,81
T1518.001,0.55,73
T1059.001,0.55,73
T1053.005,0.56,71
T1012,0.56,71
T1132.001,0.57,69
T1027.002,0.65,56
T1047,0.66,55
T1204.002,0.67,54
T1074.001,0.67,54
T1124,0.67,53
T1562.001,0.68,52
T1218.011,0.7,50
T1059.005,0.7,50
T1095,0.71,48
T1049,0.74,45
T1555.003,0.75,44
T1573.002,0.76,43
T1055.001,0.78,40
T1055,0.78,40
T1008,0.79,39
T1036.004,0.79,39
T1007,0.8,38
T1566.001,0.81,37
T1486,0.82,36
T1497.001,0.84,35
T1564.001,0.85,34
T1569.002,0.86,33
T1497.003,0.86,33
T1553.002,0.87,32
T1018,0.87,32
T1120,0.87,32
T1560,0.88,31
T1087.001,0.9,30
T1070.006,0.9,30
T1548.002,0.91,29
T1135,0.91,29
T1490,0.91,29
T1102.002,0.94,27
T1059.004,0.94,27
T1115,0.94,27
T1119,0.94,27
T1071.004,0.95,26
T1560.003,0.95,26
T1090,0.95,26
T1574.002,0.95,26
T1489,0.97,25
T1547.009,0.97,25
T1010,0.97,25
T1070,0.98,24
T1036,1.0,23
T1027.001,1.0,23
T1125,1.02,22
T1123,1.02,22
T1518,1.02,22
T1571,1.03,21
T1055.012,1.03,21
T1046,1.03,21
T1059.007,1.05,20
T1021.002,1.05,20
T1014,1.07,19
T1204.001,1.07,19
T1614.001,1.09,18
T1568.002,1.09,18
T1560.001,1.09,18
T1025,1.09,18
T1574.001,1.09,18
T1564.003,1.12,17
T1059.006,1.12,17
T1027.003,1.12,17
T1543.001,1.14,16
T1566.002,1.14,16
T1562.004,1.14,16
T1485,1.14,16
T1091,1.14,16
T1129,1.16,15
T1059,1.16,15
T1029,1.19,14
T1102,1.19,14
T1218.007,1.19,14
T1218.010,1.19,14
T1069.001,1.19,14
T1048.003,1.19,14
T1071.003,1.19,14
T1068,1.19,14
T1070.001,1.19,14
T1020,1.22,13
T1090.003,1.22,13
T1003.001,1.22,13
T1090.001,1.22,13
T1497,1.22,13
T1102.001,1.25,12
T1555,1.25,12
T1021.001,1.25,12
T1210,1.28,11
T1185,1.28,11
T1560.002,1.28,11
T1552.001,1.28,11
T1564.004,1.28,11
T1001.001,1.28,11
T1203,1.28,11
T1136.001,1.28,11
T1087.002,1.28,11
T1001.003,1.28,11
T1071.002,1.31,10
T1069.002,1.31,10
T1053.003,1.31,10
T1134,1.31,10
T1134.001,1.35,9
T1529,1.35,9
T1030,1.35,9
T1056.004,1.35,9
T1480,1.35,9
T1570,1.35,9
T1546.015,1.39,8
T1218.005,1.39,8
T1001.002,1.39,8
T1559.002,1.39,8
T1222.002,1.39,8
T1539,1.39,8
T1090.002,1.39,8
T1567.002,1.39,8
T1205,1.39,8
T1110.001,1.39,8
T1071,1.39,8
T1027.005,1.39,8
T1056.002,1.39,8
T1543.004,1.39,8
T1572,1.44,7
T1134.002,1.44,7
T1222.001,1.44,7
T1554,1.44,7
T1114.001,1.44,7
T1559.001,1.44,7
T1197,1.44,7
T1496,1.44,7
T1003.002,1.44,7
T1189,1.44,7
T1132.002,1.44,7
T1080,1.44,7
T1546.003,1.5,6
T1547.004,1.5,6
T1217,1.5,6
T1505.003,1.5,6
T1219,1.5,6
T1552.004,1.5,6
T1542.003,1.5,6
T1568,1.5,6
T1003,1.5,6
T1055.004,1.5,6
T1048,1.5,6
T1561.002,1.5,6
T1078,1.5,6
T1573,1.5,6
T1087.003,1.5,6
T1069,1.56,5
T1055.002,1.56,5
T1052.001,1.56,5
T1040,1.56,5
T1555.004,1.56,5
T1001,1.56,5
T1104,1.56,5
T1110,1.56,5
T1021.005,1.56,5
T1016.001,1.56,5
T1620,1.56,5
T1036.001,1.63,4
T1027.004,1.63,4
T1039,1.63,4
T1574.006,1.63,4
T1614,1.63,4
T1480.001,1.63,4
T1037.001,1.63,4
T1037.004,1.63,4
T1555.001,1.63,4
T1102.003,1.63,4
T1133,1.63,4
T1132,1.63,4
T1561.001,1.63,4
T1078.003,1.63,4
T1569.001,1.63,4
T1078.002,1.63,4
T1564.005,1.72,3
T1555.005,1.72,3
T1565.002,1.72,3
T1548.003,1.72,3
T1553.006,1.72,3
T1543.002,1.72,3
T1611,1.72,3
T1609,1.72,3
T1553.004,1.72,3
T1564.006,1.72,3
T1546.011,1.72,3
T1567,1.72,3
T1562.006,1.72,3
T1574,1.72,3
T1564,1.72,3
T1553.001,1.72,3
T1547,1.72,3
T1552.002,1.72,3
T1546.010,1.72,3
T1547.015,1.72,3
T1195.002,1.72,3
T1542.001,1.72,3
T1098.004,1.72,3
T1114.002,1.72,3
T1059.002,1.72,3
T1134.004,1.72,3
T1176,1.72,3
T1055.003,1.72,3
T1190,1.72,3
T1622,1.72,3
T1482,1.72,3
T1484.001,1.72,3
T1078.001,1.72,3
T1531,1.72,3
T1546.012,1.84,2
T1218.004,1.84,2
T1070.005,1.84,2
T1218.002,1.84,2
T1110.003,1.84,2
T1070.003,1.84,2
T1053,1.84,2
T1559,1.84,2
T1546.004,1.84,2
T1505.004,1.84,2
T1137.001,1.84,2
T1055.011,1.84,2
T1556,1.84,2
T1055.013,1.84,2
T1568.001,1.84,2
T1556.003,1.84,2
T1610,1.84,2
T1021.004,1.84,2
T1056,1.84,2
T1550.002,1.84,2
T1497.002,1.84,2
T1495,1.84,2
T1491.001,1.84,2
T1499,1.84,2
T1547.006,1.84,2
T1547.008,1.84,2
T1547.012,1.84,2
T1547.013,1.84,2
T1021,1.84,2
T1221,1.84,2
T1548.001,1.84,2
T1092,1.84,2
T1564.010,1.84,2
T1098,1.84,2
T1090.004,1.84,2
T1003.004,2.0,1
T1070.002,2.0,1
T1566,2.0,1
T1615,2.0,1
T1072,2.0,1
T1564.009,2.0,1
T1565.001,2.0,1
T1053.002,2.0,1
T1003.005,2.0,1
T1021.003,2.0,1
T1601.001,2.0,1
T1598.003,2.0,1
T1598.002,2.0,1
T1588.003,2.0,1
T1574.013,2.0,1
T1574.010,2.0,1
T1055.015,2.0,1
T1021.006,2.0,1
T1074,2.0,1
T1036.006,2.0,1
T1036.007,2.0,1
T1037.005,2.0,1
T1613,2.0,1
T1011.001,2.0,1
T1055.005,2.0,1
T1027.006,2.0,1
T1036.003,2.0,1
T1134.003,2.0,1
T1564.002,2.0,1
T1552.003,2.0,1
T1218.009,2.0,1
T1552,2.0,1
T1550.003,2.0,1
T1550,2.0,1
T1548.004,2.0,1
T1218.012,2.0,1
T1220,2.0,1
T1547.014,2.0,1
T1547.002,2.0,1
T1498,2.0,1
T1546.009,2.0,1
T1499.004,2.0,1
T1546.002,2.0,1
T1505.001,2.0,1
T1505.002,2.0,1
T1543,2.0,1
T1552.005,2.0,1
T1087,2.0,1
T1218.001,2.0,1
T1202,2.0,1
T1563.002,2.0,1
T1562.009,2.0,1
T1110.002,2.0,1
T1562,2.0,1
T1110.004,2.0,1
T1111,2.0,1
T1127.001,2.0,1
T1542.002,2.0,1
T1557,2.0,1
T1556.004,2.0,1
T1556.002,2.0,1
T1556.001,2.0,1
T1137.006,2.0,1
T1187,2.0,1
