TTP,counts,weight
T1105,286,1.0
T1082,262,0.916083916083916
T1071.001,227,0.7937062937062938
T1027,226,0.7902097902097902
T1059.003,211,0.7377622377622378
T1083,210,0.7342657342657343
T1057,183,0.6398601398601399
T1070.004,173,0.6048951048951049
T1140,167,0.583916083916084
T1016,158,0.5524475524475524
T1547.001,153,0.534965034965035
T1033,130,0.45454545454545453
T1573.001,115,0.4020979020979021
T1106,111,0.3881118881118881
T1113,110,0.38461538461538464
T1112,101,0.3531468531468531
T1056.001,94,0.32867132867132864
T1005,92,0.32167832167832167
T1036.005,88,0.3076923076923077
T1543.003,83,0.2902097902097902
T1041,81,0.28321678321678323
T1518.001,73,0.25524475524475526
T1059.001,73,0.25524475524475526
T1053.005,71,0.24825174825174826
T1012,71,0.24825174825174826
T1132.001,69,0.24125874125874125
T1027.002,56,0.1958041958041958
T1047,55,0.19230769230769232
T1074.001,54,0.1888111888111888
T1204.002,54,0.1888111888111888
T1124,53,0.1853146853146853
T1562.001,52,0.18181818181818182
T1059.005,50,0.17482517482517482
T1218.011,50,0.17482517482517482
T1095,48,0.16783216783216784
T1049,45,0.15734265734265734
T1555.003,44,0.15384615384615385
T1573.002,43,0.15034965034965034
T1055.001,40,0.13986013986013987
T1055,40,0.13986013986013987
T1008,39,0.13636363636363635
T1036.004,39,0.13636363636363635
T1007,38,0.13286713286713286
T1566.001,37,0.12937062937062938
T1486,36,0.1258741258741259
T1497.001,35,0.12237762237762238
T1564.001,34,0.11888111888111888
T1497.003,33,0.11538461538461539
T1569.002,33,0.11538461538461539
T1018,32,0.11188811188811189
T1120,32,0.11188811188811189
T1553.002,32,0.11188811188811189
T1560,31,0.10839160839160839
T1087.001,30,0.1048951048951049
T1070.006,30,0.1048951048951049
T1135,29,0.10139860139860139
T1490,29,0.10139860139860139
T1548.002,29,0.10139860139860139
T1059.004,27,0.0944055944055944
T1119,27,0.0944055944055944
T1115,27,0.0944055944055944
T1102.002,27,0.0944055944055944
T1090,26,0.09090909090909091
T1071.004,26,0.09090909090909091
T1574.002,26,0.09090909090909091
T1560.003,26,0.09090909090909091
T1547.009,25,0.08741258741258741
T1010,25,0.08741258741258741
T1489,25,0.08741258741258741
T1070,24,0.08391608391608392
T1036,23,0.08041958041958042
T1027.001,23,0.08041958041958042
T1123,22,0.07692307692307693
T1518,22,0.07692307692307693
T1125,22,0.07692307692307693
T1055.012,21,0.07342657342657342
T1571,21,0.07342657342657342
T1046,21,0.07342657342657342
T1021.002,20,0.06993006993006994
T1059.007,20,0.06993006993006994
T1014,19,0.06643356643356643
T1204.001,19,0.06643356643356643
T1574.001,18,0.06293706293706294
T1025,18,0.06293706293706294
T1614.001,18,0.06293706293706294
T1560.001,18,0.06293706293706294
T1568.002,18,0.06293706293706294
T1059.006,17,0.05944055944055944
T1027.003,17,0.05944055944055944
T1564.003,17,0.05944055944055944
T1091,16,0.055944055944055944
T1566.002,16,0.055944055944055944
T1543.001,16,0.055944055944055944
T1485,16,0.055944055944055944
T1562.004,16,0.055944055944055944
T1059,15,0.05244755244755245
T1129,15,0.05244755244755245
T1218.010,14,0.04895104895104895
T1218.007,14,0.04895104895104895
T1071.003,14,0.04895104895104895
T1102,14,0.04895104895104895
T1029,14,0.04895104895104895
T1070.001,14,0.04895104895104895
