TTP,weight
T1105,0.295
T1082,0.276
T1071.001,0.247
T1027,0.247
T1059.003,0.234
T1083,0.233
T1057,0.209
T1070.004,0.2
T1140,0.195
T1016,0.186
T1547.001,0.182
T1033,0.16
T1573.001,0.145
T1106,0.141
T1113,0.14
T1112,0.13
T1056.001,0.123
T1005,0.121
T1036.005,0.116
T1543.003,0.111
T1041,0.109
T1518.001,0.1
T1059.001,0.1
T1053.005,0.098
T1012,0.098
T1132.001,0.095
T1027.002,0.08
T1047,0.079
T1204.002,0.078
T1074.001,0.078
T1124,0.077
T1562.001,0.075
T1218.011,0.073
T1059.005,0.073
T1095,0.071
T1049,0.067
T1555.003,0.066
T1573.002,0.064
T1055.001,0.061
T1055,0.061
T1036.004,0.059
T1008,0.059
T1007,0.058
T1566.001,0.057
T1486,0.055
T1497.001,0.054
T1564.001,0.053
T1569.002,0.052
T1497.003,0.052
T1553.002,0.05
T1120,0.05
T1018,0.05
T1560,0.049
T1087.001,0.048
T1070.006,0.048
T1548.002,0.046
T1490,0.046
T1135,0.046
T1119,0.043
T1115,0.043
T1102.002,0.043
T1059.004,0.043
T1574.002,0.042
T1560.003,0.042
T1090,0.042
T1071.004,0.042
T1547.009,0.041
T1489,0.041
T1010,0.041
T1070,0.039
T1036,0.038
T1027.001,0.038
T1518,0.036
T1125,0.036
T1123,0.036
T1571,0.035
T1055.012,0.035
T1046,0.035
T1059.007,0.034
T1021.002,0.034
T1204.001,0.032
T1014,0.032
T1614.001,0.031
T1574.001,0.031
T1568.002,0.031
T1560.001,0.031
T1025,0.031
T1564.003,0.029
T1059.006,0.029
T1027.003,0.029
T1566.002,0.028
T1562.004,0.028
T1543.001,0.028
T1485,0.028
T1091,0.028
T1129,0.026
T1059,0.026
T1218.010,0.025
T1218.007,0.025
T1102,0.025
T1071.003,0.025
T1070.001,0.025
T1069.001,0.025
T1068,0.025
T1048.003,0.025
T1029,0.025
T1497,0.023
T1090.003,0.023
T1090.001,0.023
T1020,0.023
T1003.001,0.023
T1555,0.022
T1102.001,0.022
T1021.001,0.022
T1564.004,0.02
T1560.002,0.02
T1552.001,0.02
T1210,0.02
T1203,0.02
T1185,0.02
T1136.001,0.02
T1087.002,0.02
T1001.003,0.02
T1001.001,0.02
T1134,0.018
T1071.002,0.018
T1069.002,0.018
T1053.003,0.018
T1570,0.017
T1529,0.017
T1480,0.017
T1134.001,0.017
T1056.004,0.017
T1030,0.017
T1567.002,0.015
T1559.002,0.015
T1546.015,0.015
T1543.004,0.015
T1539,0.015
T1222.002,0.015
T1218.005,0.015
T1205,0.015
T1110.001,0.015
T1090.002,0.015
T1071,0.015
T1056.002,0.015
T1027.005,0.015
T1001.002,0.015
T1572,0.013
T1559.001,0.013
T1554,0.013
T1496,0.013
T1222.001,0.013
T1197,0.013
T1189,0.013
T1134.002,0.013
T1132.002,0.013
T1114.001,0.013
T1080,0.013
T1003.002,0.013
T1573,0.012
T1568,0.012
T1561.002,0.012
T1552.004,0.012
T1547.004,0.012
T1546.003,0.012
T1542.003,0.012
T1505.003,0.012
T1219,0.012
T1217,0.012
T1087.003,0.012
T1078,0.012
T1055.004,0.012
T1048,0.012
T1003,0.012
T1620,0.01
T1555.004,0.01
T1110,0.01
T1104,0.01
T1069,0.01
T1055.002,0.01
T1052.001,0.01
T1040,0.01
T1021.005,0.01
T1016.001,0.01
T1001,0.01
T1614,0.008
T1574.006,0.008
T1569.001,0.008
T1561.001,0.008
T1555.001,0.008
T1480.001,0.008
T1133,0.008
T1132,0.008
T1102.003,0.008
T1078.003,0.008
T1078.002,0.008
T1039,0.008
T1037.004,0.008
T1037.001,0.008
T1036.001,0.008
T1027.004,0.008
T1622,0.006
T1611,0.006
T1609,0.006
T1574,0.006
T1567,0.006
T1565.002,0.006
T1564.006,0.006
T1564.005,0.006
T1564,0.006
T1562.006,0.006
T1555.005,0.006
T1553.006,0.006
T1553.004,0.006
T1553.001,0.006
T1552.002,0.006
T1548.003,0.006
T1547.015,0.006
T1547,0.006
T1546.011,0.006
T1546.010,0.006
T1543.002,0.006
T1542.001,0.006
T1531,0.006
T1484.001,0.006
T1482,0.006
T1195.002,0.006
T1190,0.006
T1176,0.006
T1134.004,0.006
T1114.002,0.006
T1098.004,0.006
T1078.001,0.006
T1059.002,0.006
T1055.003,0.006
T1610,0.004
T1568.001,0.004
T1564.010,0.004
T1559,0.004
T1556.003,0.004
T1556,0.004
T1550.002,0.004
T1548.001,0.004
T1547.013,0.004
T1547.012,0.004
T1547.008,0.004
T1547.006,0.004
T1546.012,0.004
T1546.004,0.004
T1505.004,0.004
T1499,0.004
T1497.002,0.004
T1495,0.004
T1491.001,0.004
T1221,0.004
T1218.004,0.004
T1218.002,0.004
T1137.001,0.004
T1110.003,0.004
T1098,0.004
T1092,0.004
T1090.004,0.004
T1070.005,0.004
T1070.003,0.004
T1056,0.004
T1055.013,0.004
T1055.011,0.004
T1053,0.004
T1021.004,0.004
T1021,0.004
T1647,0.002
T1615,0.002
T1613,0.002
T1601.001,0.002
T1598.003,0.002
T1598.002,0.002
T1588.003,0.002
T1574.013,0.002
T1574.010,0.002
T1566,0.002
T1565.001,0.002
T1564.009,0.002
T1564.002,0.002
T1563.002,0.002
T1562.009,0.002
T1562,0.002
T1557,0.002
T1556.004,0.002
T1556.002,0.002
T1556.001,0.002
T1555.002,0.002
T1552.005,0.002
T1552.003,0.002
T1552,0.002
T1550.003,0.002
T1550,0.002
T1548.004,0.002
T1547.014,0.002
T1547.002,0.002
T1546.009,0.002
T1546.002,0.002
T1543,0.002
T1542.002,0.002
T1505.002,0.002
T1505.001,0.002
T1499.004,0.002
T1498,0.002
T1220,0.002
T1218.012,0.002
T1218.009,0.002
T1218.001,0.002
T1213,0.002
T1202,0.002
T1201,0.002
T1195.001,0.002
T1187,0.002
T1137.006,0.002
T1134.003,0.002
T1127.001,0.002
T1111,0.002
T1110.004,0.002
T1110.002,0.002
T1087,0.002
T1074,0.002
T1072,0.002
T1070.002,0.002
T1055.015,0.002
T1055.005,0.002
T1053.002,0.002
T1037.005,0.002
T1036.007,0.002
T1036.006,0.002
T1036.003,0.002
T1027.006,0.002
T1021.006,0.002
T1021.003,0.002
T1011.001,0.002
T1003.005,0.002
T1003.004,0.002
